,Show Number,Air Date,Round,Category,Value,Question,Answer
194670,3278,12/2/1998,Jeopardy!,WORD ORIGINS,$400 ,"From middle English & Latin for ""toward"" & ""to climb"", one does it to a staircase or the throne",Ascend
22416,3686,9/18/2000,Double Jeopardy!,WORD ORIGINS,$400 ,"Although it comes from the Latin for ""whitish"", this color of hair is actually reddish-brown",Auburn
29250,2019,5/20/1993,Jeopardy!,WORD ORIGINS,$100 ,"Not surprisingly, the word koala comes from a native language of this continent",Australia
138721,6261,12/5/2011,Double Jeopardy!,WORD ORIGINS,$400 ,"From the Arabic for ""sign of god"", it's a high-ranking Muslim cleric regarded as the most learned of the time period",ayatollah
187112,4651,11/22/2004,Jeopardy!,WORD ORIGINS,$200 ,"This light wood gets its name from the Spanish for ""raft"" because people in the tropics have used its logs for rafts",balsa
122496,4615,10/1/2004,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Italian for ""bench"", it's a sumptuous feast given in someone's honor",banquet
48292,3692,9/26/2000,Final Jeopardy!,WORD ORIGINS,None,This term for those not Roman or Greek derives from the fact their languages sounded unintelligible,Barbarians
144440,4173,10/23/2002,Double Jeopardy!,WORD ORIGINS,"$1,000 ","Perhaps from the Italian for ""imperfect pearl"", it can be a style of music, art or architecture",Baroque
62668,2830,12/13/1996,Jeopardy!,WORD ORIGINS,$300 ,"The adjective vespertilian means resembling this winged mammal, whose Latin name is vespertilio",Bat
208093,3005,9/26/1997,Double Jeopardy!,WORD ORIGINS,$800 ,"""When they begin"" this dance, they should know its name is from the French for a flirtation",Beguine
136631,2354,11/24/1994,Jeopardy!,WORD ORIGINS,$400 ,"From a Greek word meaning ""to speak ill of"", it's irreverent talk of God",Blasphemy
69753,2130,12/3/1993,Double Jeopardy!,WORD ORIGINS,$800 ,Humorist Gillette Burgess coined this 5-letter term for a brief laudatory phrase on a book jacket,Blurb
69735,2130,12/3/1993,Double Jeopardy!,WORD ORIGINS,$200 ,"Slang for remarkable or gutsy, it may be a blend of ""bold"" & ""audacious""",Bodacious
165157,6272,12/20/2011,Jeopardy!,WORD ORIGINS,$600 ,"First appearing more than a century ago, it means gutsy & is probably a blend of bold & audacious",bodacious
79903,4923,1/25/2006,Final Jeopardy!,WORD ORIGINS,None,"This word that has come to mean ""sudden prosperity"" means ""good weather"" in Spanish",bonanza
62662,2830,12/13/1996,Jeopardy!,WORD ORIGINS,$200 ,"This term for a broad street is French, but it goes back to bolwerc, a Middle Dutch word for bulwark",Boulevard
194652,3278,12/2/1998,Jeopardy!,WORD ORIGINS,$100 ,"An old French word for ""thicket"" gave us this word for something tossed by a bride",Bouquet
136613,2354,11/24/1994,Jeopardy!,WORD ORIGINS,$100 ,"This term for a flower worn in a buttonhole is literally French for ""buttonhole""",Boutonniere
111389,505,11/14/1986,Jeopardy!,WORD ORIGINS,$400 ,"An Irishman with this accent might be putting his foot in his mouth, because this word means ""shoe""",brogue
5866,3470,10/8/1999,Double Jeopardy!,WORD ORIGINS,"$1,000 ","A Greek word for cowherd has given us this term for ""pastoral"" or ""rustic""",bucolic
29268,2019,5/20/1993,Jeopardy!,WORD ORIGINS,$400 ,"This title of prince Siddhartha comes from Sanskrit for ""awakening""",Buddha
140245,1889,11/19/1992,Jeopardy!,WORD ORIGINS,$200 ,"The name of this military horn comes from the Latin for ""young ox"" since the first ones were ox horns",Bugle
62899,737,11/17/1987,Jeopardy!,WORD ORIGINS,$100 ,"It used to mean sweetheart, but now refers to that big fifth grader who picked on you",bully
16708,3736,11/27/2000,Final Jeopardy!,WORD ORIGINS,None,"Used in the '40s for a sudden loss of power in a jet engine, Herbert Freudenberger applied it in 1974 to spent people",Burnout
8791,5397,2/12/2008,Jeopardy!,WORD ORIGINS,$400 ,"The name of this bread spread goes all the way back to bous, a Greek word for ""cow""",butter
73293,2816,11/25/1996,Jeopardy!,WORD ORIGINS,$400 ,This term for a chance spectator innocently came into our language by 1620,Bystander
103128,5465,5/16/2008,Jeopardy!,WORD ORIGINS,$800 ,"The name of this element is from the Latin word for ""lime"", the chemical kind",calcium
129588,3121,3/9/1998,Final Jeopardy!,WORD ORIGINS,None,"These 2 words, for a political plan of attack & a drink used to celebrate a win, come from the same root",Campaign & champagne
211435,5409,2/28/2008,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Italian word for bell, it's the 9-letter term for a bell tower like the Venetian one seen <a href=""http://www.j-archive.com/media/2008-02-28_DJ_06.wmv"">here</a>",campanile
157180,5787,11/10/2009,Double Jeopardy!,WORD ORIGINS,"$1,600 ","This word for a large piece of artillery comes from the Italian for ""great tube""",cannon
111377,505,11/14/1986,Jeopardy!,WORD ORIGINS,$200 ,It's the pace at which Pilgrims rode to Canterbury,canter
15270,5408,2/27/2008,Final Jeopardy!,WORD ORIGINS,None,"It's from the Latin for ""hemp"" because it was often made of hemp; add a letter & it means to take a survey",canvas
122490,4615,10/1/2004,Double Jeopardy!,WORD ORIGINS,$400 ,"Whether it's a problem in the eye or a waterfall, it's from the Greek for ""to dash down""",cataract
134167,312,11/19/1985,Jeopardy!,WORD ORIGINS,$100 ,"Though an insect larva, its name comes from French for “hairy cat”",caterpillar
137672,3166,5/11/1998,Double Jeopardy!,WORD ORIGINS,$800 ,"French for ""famous case"", it's any celebrated controversy that attracts great public attention",Cause celebre
93950,2686,4/15/1996,Double Jeopardy!,WORD ORIGINS,$400 ,"This word for a ceremonial procession is from old Italian cavalcare, ""to ride on horseback""",Cavalcade
22432,3686,9/18/2000,Double Jeopardy!,WORD ORIGINS,"$1,000 ","The name of this most recent geological era is from the Greek for ""new animals""",Cenozoic
62911,737,11/17/1987,Jeopardy!,WORD ORIGINS,$300 ,This word for pal is said to be Oxford University slang for chamberfellow; a roommate,chum
62674,2830,12/13/1996,Jeopardy!,WORD ORIGINS,$400 ,"This fruity condiment's name comes from the Hindi meaning ""to be licked""",Chutney
356,5690,5/8/2009,Double Jeopardy!,WORD ORIGINS,"$2,000 ","A type of ear implant to help the deaf, it's from the Greek for ""snail""",cochlear
154552,780,1/15/1988,Double Jeopardy!,WORD ORIGINS,"$1,000 ","This slang term for ""ridiculous"" may derive from a word for the art of making decals, decalcomania",cockamamie
216542,3038,11/12/1997,Double Jeopardy!,WORD ORIGINS,$200 ,"Hey, Lassie, the name of this dog breed may come from a Scottish word meaning ""sooty with coal dust""",Collie
187118,4651,11/22/2004,Jeopardy!,WORD ORIGINS,$400 ,"The gigantic statue at Rhodes, one of the 7 ancient wonders, gave us this adjective meaning gigantic",colossal
15694,6260,12/2/2011,Final Jeopardy!,WORD ORIGINS,None,"This word for a friend comes from the Latin for ""with whom you would eat bread""",companion
176458,2910,4/4/1997,Double Jeopardy!,WORD ORIGINS,"$1,000 ",The name of this vulture found in the Andes is derived from the Quechua language,Condor
80258,5283,7/25/2007,Double Jeopardy!,WORD ORIGINS,"$1,600 ","This word for a kind of land mass comes from a word meaning ""to contain""",continent
22428,3686,9/18/2000,Double Jeopardy!,WORD ORIGINS,"$1,500 ","Derived from the Latin word for ""body"", it's used to describe a large or bulky person",Corpulent
170002,5455,5/2/2008,Double Jeopardy!,WORD ORIGINS,"$1,200 ","Derived from the Latin word for ""body"", it's used to describe a large or bulky person",corpulent
137660,3166,5/11/1998,Double Jeopardy!,WORD ORIGINS,$400 ,"French for ""stroke of mercy"", in reality it's a death blow",Coup de grace
183718,3104,2/12/1998,Jeopardy!,WORD ORIGINS,$300 ,"This primrose's name comes from the Old English for ""cow slime"" & sounds pretty similar",cowslip
183706,3104,2/12/1998,Jeopardy!,WORD ORIGINS,$100 ,"The Middle French word for this freshwater crustacean was ""crevice"", which evolved into our English word",crayfish
130633,4526,4/19/2004,Jeopardy!,WORD ORIGINS,$600 ,"(Sarah of the Clue Crew in Alaska)  From the Old French for ""crack"", this V-shaped crack in a glacier may be up to 150 feet deep",crevasse
52573,5525,9/19/2008,Double Jeopardy!,WORD ORIGINS,"$1,200 ","This dangerous river reptile's name is from the Greek for ""pebble"" & ""worm""",crocodile
81389,1230,12/29/1989,Final Jeopardy!,WORD ORIGINS,None,This word for a close friend or an old chum comes from the Greek word for time,Crony (from the Greek god Cronus)
5842,3470,10/8/1999,Double Jeopardy!,WORD ORIGINS,$200 ,"Derived from the Greek for ""ice"", it's a glass of fine quality that resembles ice",Crystal
94330,4948,3/1/2006,Final Jeopardy!,WORD ORIGINS,None,This word regarding infidelity came from a certain bird leaving its eggs in other nests to be raised,cuckold
43731,6078,2/2/2011,Double Jeopardy!,WORD ORIGINS,"$1,200 ","(<a href=""http://www.j-archive.com/media/2011-02-02_DJ_24.jpg"" target=""_blank"">Kelly of the Clue Crew shows a line of poetry on the monitor.</a>)  A natural break or pause in a line of poetry is called a ""caesura""; the ""caes"" part comes from the Latin for this verb, as in ""excise""",cut
136625,2354,11/24/1994,Jeopardy!,WORD ORIGINS,$300 ,The word chime comes from the name of this other percussion instrument,Cymbal
99677,5691,5/11/2009,Final Jeopardy!,WORD ORIGINS,None,"Before its use in journalism, it meant a boundary beyond which straying prisoners would be shot",deadline
154546,780,1/15/1988,Double Jeopardy!,WORD ORIGINS,$800 ,"From a French phrase meaning ""of good nature"", this adjective is synonymous with suave & urbane",debonair
43498,4965,3/24/2006,Double Jeopardy!,WORD ORIGINS,"$1,600 ",This word for what one often does to red wine before serving comes from a Latin word for an iron ring,decant
137666,3166,5/11/1998,Double Jeopardy!,WORD ORIGINS,$700 ,"Literally ""god from a machine"", this term refers to a god introduced to resolve a plot",Deus ex machina
332,5690,5/8/2009,Double Jeopardy!,WORD ORIGINS,$400 ,"This adjective meaning deceptive or sneaky is from the Latin de via, meaning ""out of the way""",devious
73299,2816,11/25/1996,Jeopardy!,WORD ORIGINS,$500 ,"This word for any of the 10 Arabic number symbols comes from the Latin word for ""finger""",Digit
92068,1197,11/14/1989,Jeopardy!,WORD ORIGINS,"$1,000 ","This synonym for ""gloomy"" comes from a Medieval Latin term for ""evil days""",dismal
211423,5409,2/28/2008,Double Jeopardy!,WORD ORIGINS,"$1,200 ","This word for a blob or lump, perhaps of whipped cream, may come from dolpur, Icelandic for ""fat man""",dollop
127979,3684,9/14/2000,Final Jeopardy!,WORD ORIGINS,None,"This residential district of Dublin held an annual fair from 1204 to 1855, when it was closed due to frequent fights",Donnybrook
208087,3005,9/26/1997,Double Jeopardy!,WORD ORIGINS,$600 ,"The name of this tent fabric comes from a Dutch word for ""cloth"", not from a web-footed bird",Duck
148640,3799,2/22/2001,Final Jeopardy!,WORD ORIGINS,None,"Ironically, this synonym for a stupid person is based on the name of 1 of the most brilliant scholars of the 14th c.",Dunce (from John Duns Scotus)
134191,312,11/19/1985,Jeopardy!,WORD ORIGINS,$500 ,"Though John Duns Scotus was considered a great philosopher, his followers were later called this",dunces
94078,3324,2/4/1999,Double Jeopardy!,WORD ORIGINS,$800 ,This insect's name is derived from the superstition that it enters a sleeping person's aural organs,Earwig
43486,4965,3/24/2006,Double Jeopardy!,WORD ORIGINS,$800 ,"The minute you walked in the joint, you knew the name of this body part was from the old English ""elnboga""",elbow
130645,4526,4/19/2004,Jeopardy!,WORD ORIGINS,"$2,000 ",People who cultivated this fruit often used to make wine were said to live to a ripe old age; hence its name,elderberry
144452,4173,10/23/2002,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Latin for ""to raise"", it refers to the altitude of a city or mountain above sea level",elevation
5854,3470,10/8/1999,Double Jeopardy!,WORD ORIGINS,$600 ,"A Middle Eastern chieftain, this 4-letter term is from the Arabic for ""commander""",Emir
83474,5230,5/11/2007,Jeopardy!,WORD ORIGINS,"$1,000 ","Appropriately, this adjective that means the giving of one's name to something comes from the Greek for ""giving name""",eponymous
211906,3224,9/17/1998,Double Jeopardy!,WORD ORIGINS,"$1,000 ",These salts used as a soaking aid for swelling are named for the British town of their discovery,Epsom salts
192049,969,11/17/1988,Jeopardy!,WORD ORIGINS,$300 ,"From the Latin for shield, ""scutum,"" it's a shield bearing a coat of arms",Escutcheon
22422,3686,9/18/2000,Double Jeopardy!,WORD ORIGINS,$600 ,"The Greek kalyptos, ""to cover"", gives us the name for this Australian gum tree",Eucalyptus
33943,1985,4/2/1993,Jeopardy!,WORD ORIGINS,$100 ,"This term for a copy or reproduction is from the Latin meaning ""to make similar""",facsimile
192055,969,11/17/1988,Jeopardy!,WORD ORIGINS,$400 ,"An Arabic word for ""poor"" gave us this term for a Muslim or Hindu beggar said to have mystical powers",Fakir
165940,1326,5/14/1990,Jeopardy!,WORD ORIGINS,$400 ,"From the Latin for ""hunger"", it's a period when food is extremely scarce",Famine
176452,2910,4/4/1997,Double Jeopardy!,WORD ORIGINS,$400 ,This synonym for wonderful is a blend of fantastic & fabulous,Fantabulous
37693,1250,1/26/1990,Double Jeopardy!,WORD ORIGINS,$400 ,Mussolini coined this word from the bundles of sticks that were a symbol of every Roman authority,fascism
216548,3038,11/12/1997,Double Jeopardy!,WORD ORIGINS,$400 ,"The lutz, a type of jump in this sport, is probably named for Swiss athlete Gustave Lussi",Figure skating
165169,6272,12/20/2011,Jeopardy!,WORD ORIGINS,"$1,000 ",This nickname for paper measuring 13 by 16 inches gets its name from an old watermark of a court jester's hat,foolscap
6578,3358,3/24/1999,Final Jeopardy!,WORD ORIGINS,None,"Today meaning a self-employed person, this term derives from medieval knights who sold their skills",Freelancer
93944,2686,4/15/1996,Double Jeopardy!,WORD ORIGINS,$200 ,"A chatty person has ""the gift of"" this, a word derived from Middle English for ""to scoff""",Gab
187136,4651,11/22/2004,Jeopardy!,WORD ORIGINS,"$1,000 ",They got their name from the wooden sandals worn by the French court to protect shoes on rainy days,galoshes
11245,4873,11/16/2005,Final Jeopardy!,WORD ORIGINS,None,"This word meaning ""complete range"" comes from the 3rd Greek letter, which used to be the low end of the musical scale",gamut
205677,4192,11/19/2002,Double Jeopardy!,WORD ORIGINS,$800 ,"This French word originally meant ""a place where one docks"" a boat, not a car",garage
19914,6025,11/19/2010,Double Jeopardy!,WORD ORIGINS,"$1,200 ","This word for the art & science of good eating goes back to Greek for ""belly""",gastronomy
76706,3233,9/30/1998,Jeopardy!,WORD ORIGINS,$200 ,Jeans were named for this Italian city where a strong twilled cotton cloth was made,Genoa
154529,780,1/15/1988,Double Jeopardy!,WORD ORIGINS,$200 ,"Derived from Middle English words for ""goose"" & ""summer"", it's a gauzy summer fabric",gossamer
156537,3719,11/2/2000,Double Jeopardy!,WORD ORIGINS,"$1,000 ","This emotion you feel at a grave seems to come from the same root as ""grave""",grief
138744,6261,12/5/2011,Double Jeopardy!,WORD ORIGINS,"$3,000 ","From the Italian for ""of a cave"", this adjective today refers to anything strange or ugly",grotesque
2842,422,4/22/1986,Double Jeopardy!,WORD ORIGINS,$600 ,"Chinese for “work together”, it was motto of U.S. marine raiders in WWII",gung ho
194664,3278,12/2/1998,Jeopardy!,WORD ORIGINS,$300 ,This word for a swinging cot is derived from Spanish & from the Taino language of the West Indies,Hammock
62905,737,11/17/1987,Jeopardy!,WORD ORIGINS,$200 ,"The word manage goes back to the Latin ""manus"", the word for this part of the body",hand
71572,3506,11/29/1999,Double Jeopardy!,WORD ORIGINS,$200 ,Type of moustache named for its resemblance to a bicycle part,Handlebar
50789,1283,3/14/1990,Double Jeopardy!,WORD ORIGINS,$600 ,"This cab was named for an English architect, not for its good looks",Hansom Cab
33967,1985,4/2/1993,Jeopardy!,WORD ORIGINS,$600 ,"Meaning vain & above oneself, this adjective comes from the Middle French for ""high""",haughty
43743,6078,2/2/2011,Double Jeopardy!,WORD ORIGINS,"$2,000 ","Older baling equipment would malfunction & tangle, a possible origin of this word for crazy or disordered",haywire
93962,2686,4/15/1996,Double Jeopardy!,WORD ORIGINS,$800 ,"From the Latin for ""shaggy"" or ""bristly"", it's a synonym for hairy",Hirsute
23088,5150,1/19/2007,Final Jeopardy!,WORD ORIGINS,None,"Well known to ""Jeopardy!"" fans, this 10-letter word originally meant a stew of many different ingredients",hodgepodge
192043,969,11/17/1988,Jeopardy!,WORD ORIGINS,$200 ,"It's a French word meaning ""Dutch,"" and in English it usually refers to a sauce",Hollandaise
170014,5455,5/2/2008,Double Jeopardy!,WORD ORIGINS,"$2,000 ","From the Old French for ""man"", it's a special honor expressed publicly for a person",homage
62917,737,11/17/1987,Jeopardy!,WORD ORIGINS,$400 ,This word for boss or head is from a Japanese word meaning squad leader,honcho
94072,3324,2/4/1999,Double Jeopardy!,WORD ORIGINS,$600 ,This type of tripe is named for its resemblance to a certain bee structure,Honeycomb
135368,1639,10/17/1991,Jeopardy!,WORD ORIGINS,$100 ,Mark Twain should have known the name of this fruit may be an alternation of “hurtleberry”,huckleberry
80161,5134,12/28/2006,Jeopardy!,WORD ORIGINS,$600 ,"This musical instrument's name may be influenced by ""hurly-burly"", a Scots word meaning ""uproar"".",hurdy-gurdy
92062,1197,11/14/1989,Jeopardy!,WORD ORIGINS,$400 ,"The ""chop"" in ""chopsticks"" means this in Pidgin English, as in ""chop-chop""",hurry (or quick or fast)
193974,4770,5/6/2005,Double Jeopardy!,WORD ORIGINS,"$1,600 ","From Old French for ""catch"" or ""entangle"", it's to accuse a serving government official with an offense",impeach
22410,3686,9/18/2000,Double Jeopardy!,WORD ORIGINS,$200 ,The name of this South American Indian group was originally the title of their emperor,Incas
140073,5704,5/28/2009,Final Jeopardy!,WORD ORIGINS,None,"This word for a distinguishing mark of office or honor comes from the Latin for ""badge""",insignia
128476,4933,2/8/2006,Jeopardy!,WORD ORIGINS,$600 ,"Latin for ""within the walls"", it refers to athletic contests among students within a school",intramural
93956,2686,4/15/1996,Double Jeopardy!,WORD ORIGINS,$600 ,"The Ismaili sect of this religion is named for Ismail, a son of the sixth imam, Jafar",Islam
116576,5186,3/12/2007,Final Jeopardy!,WORD ORIGINS,None,"Named for a Mediterranean country, this style of typography is based on a Renaissance script",italics
183724,3104,2/12/1998,Jeopardy!,WORD ORIGINS,$400 ,This game in which players pick up sticks or straws is named for a leader of Wat Tyler's Rebellion,jackstraws
63132,5990,10/1/2010,Final Jeopardy!,WORD ORIGINS,None,"Like the name of a minor Roman god, this word for a caretaker comes from the Latin for ""door""",janitor
136619,2354,11/24/1994,Jeopardy!,WORD ORIGINS,$200 ,"Judo is Japanese for ""soft way"" & this self-defense form is Japanese for ""soft art""",Jiu-Jitsu
154541,780,1/15/1988,Double Jeopardy!,WORD ORIGINS,$600 ,These full-hipped riding breeches were named for a town in India,jodhpurs
187130,4651,11/22/2004,Jeopardy!,WORD ORIGINS,$800 ,"The Greek word ""iota"" gave us this 3-letter word that means to write down hastily",jot
137654,3166,5/11/1998,Double Jeopardy!,WORD ORIGINS,$200 ,"From the Hindi word jagannath, it's an advancing force crushing all in its path",Juggernaut
140263,1889,11/19/1992,Jeopardy!,WORD ORIGINS,$500 ,"This term for a person who bowls is derived from the German word for ""bowling pin""",Kegler
50777,1283,3/14/1990,Double Jeopardy!,WORD ORIGINS,$200 ,"Rose O' Neill invented this doll & gave it its name, combining ""Cupid"" & ""baby""",Kewpie Doll
62656,2830,12/13/1996,Jeopardy!,WORD ORIGINS,$100 ,"The name of this skirt isn't Scottish in origin; it may come from the Danish for ""to tuck up""",Kilt
208081,3005,9/26/1997,Double Jeopardy!,WORD ORIGINS,$400 ,"From Yiddish, for a wooden beam, it describes a person so clumsy he might bump into one",Klutz
194676,3278,12/2/1998,Jeopardy!,WORD ORIGINS,$500 ,"From old English for a male servant or a boy, it's a synonym for a jack in a deck of cards",Knave
144446,4173,10/23/2002,Double Jeopardy!,WORD ORIGINS,"$1,600 ","The name of this large island in the Gulf of Alaska is derived from an Inuit word for ""island""",Kodiak
