,Show Number,Air Date,Round,Category,Value,Question,Answer
15836,1908,12/16/1992,Double Jeopardy!,OPERA,$200 ,"In 1910 ""The Pipe of Desire"" became the first opera by an American produced at this NYC opera house",the Met
15842,1908,12/16/1992,Double Jeopardy!,OPERA,$400 ,"In ""The Tales of Hoffman"", Hoffman falls in love with Olympia, a mechanical one of these",a doll
15848,1908,12/16/1992,Double Jeopardy!,OPERA,$600 ,It's how Tosca kills Scarpia & Don Jose kills Carmen,stabbing
15854,1908,12/16/1992,Double Jeopardy!,OPERA,$800 ,"This genius of Salzburg never finished his comic opera ""The Goose of Cairo""",(Wolfgang Amadeus) Mozart
15860,1908,12/16/1992,Double Jeopardy!,OPERA,"$1,000 ","In ""Madama Butterfly"", this leading male character is a Naval lieutenant, not a detective",Lieutenant Pinkerton
16321,3103,2/11/1998,Double Jeopardy!,OPERA,$200 ,This Milan opera house has a secondary theater for chamber music,La Scala
16327,3103,2/11/1998,Double Jeopardy!,OPERA,$400 ,"The text of this 1893 Engelbert Humperdinck opera was written by his sister, Adelheid Wette",Hansel And Gretel
16333,3103,2/11/1998,Double Jeopardy!,OPERA,$600 ,This Mozart opera is set in part in the temple of Isis in Egypt,The Magic Flute
16339,3103,2/11/1998,Double Jeopardy!,OPERA,$800 ,"This Offenbach grand opera which premiered after his death in 1881 contains the popular ""Barcarolle""",The Tales Of Hoffmann
16345,3103,2/11/1998,Double Jeopardy!,OPERA,"$1,000 ","In 1956 this black contralto published her autobiography, ""My Lord, What A Morning""",Marian Anderson
20918,2683,4/10/1996,Double Jeopardy!,OPERA,$200 ,"The ""marriage"" of this character to Susanna takes place in Count Almaviva's chateau",Figaro
20924,2683,4/10/1996,Double Jeopardy!,OPERA,$400 ,"This opera's best-known aria is Cio-Cio-San's ""Un Bel Di Vedremo""",Madame Butterfly
20930,2683,4/10/1996,Double Jeopardy!,OPERA,$600 ,Act I of this 1875 opera takes place in a Seville square near a cigarette factory,"""Carmen"""
20936,2683,4/10/1996,Double Jeopardy!,OPERA,$800 ,The title character in this Verdi opera is a hunchbacked jester,"""Rigoletto"""
20942,2683,4/10/1996,Double Jeopardy!,OPERA,"$1,000 ",Beethoven wrote 4 overtures for this opera,"""Fidelio"""
24842,5271,7/9/2007,Double Jeopardy!,OPERA,$400 ,"In ""Cavalleria Rusticana"", an ear gets bitten when Alfio challenges Turiddu to their fateful one of these",a duel
24848,5271,7/9/2007,Double Jeopardy!,OPERA,$800 ,"Gian Carlo Menotti's 1963 opera ""Labyrinth"" was written for this medium",television
24854,5271,7/9/2007,Double Jeopardy!,OPERA,"$1,200 ","""Rigoletto"" prompted Rossini to say that at last he recognized this compser's genius",Verdi
24860,5271,7/9/2007,Double Jeopardy!,OPERA,"$1,600 ","Count Bitowski leads the company in praise of the waltz in ""The Viennese Spirit"" by this composer",Strauss (the Younger)
24866,5271,7/9/2007,Double Jeopardy!,OPERA,"$2,000 ","This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Das Rheingold
25137,5648,3/11/2009,Double Jeopardy!,OPERA,$400 ,"""Mefistofele"" is based on this 1808 literary work",Faust
25143,5648,3/11/2009,Double Jeopardy!,OPERA,$800 ,"The Duke of Mantua's ""La donna e mobile"" is from this opera",Rigoletto
25149,5648,3/11/2009,Double Jeopardy!,OPERA,"$1,200 ",This 2008 opera is based partly on a 1986 David Cronenberg film,The Fly
25155,5648,3/11/2009,Double Jeopardy!,OPERA,"$1,600 ","In a Beethoven opera, Leonore disguises herself as this boy",Fidelio
25161,5648,3/11/2009,Double Jeopardy!,OPERA,"$2,000 ","Eva will wed the contest winner in ""Die"" this ""von Nurnberg""",Meistersinger
27448,3434,7/8/1999,Jeopardy!,OPERA,$100 ,"""Master Peter's Puppet Show"" -- a puppet opera (?!) -- is based on a passage from this Cervantes work","""Don Quixote"""
27454,3434,7/8/1999,Jeopardy!,OPERA,$200 ,"The composition of this German's ""Ring"" cycle spanned over 20 years",Richard Wagner
27460,3434,7/8/1999,Jeopardy!,OPERA,$300 ,An Ethiopian slave girl is torn between love & patriotism in the Egypt of the Pharaohs in this Verdi opera,"""Aida"""
27466,3434,7/8/1999,Jeopardy!,OPERA,$400 ,"Operas by this composer include ""Cosi Fan Tutte"" & ""The Magic Flute""",W.A. Mozart
27472,3434,7/8/1999,Jeopardy!,OPERA,$500 ,"It's the English title of the opera ""I Pagliacci"" & the name of a ballet that juxtaposes terror & buffoonery","""The Clowns"""
28369,4714,2/17/2005,Double Jeopardy!,OPERA,$400 ,Cleopatra (soprano) & Curio (bass) appear in Handel's opera about this man (contralto) in Egypt,Julius Caesar
28375,4714,2/17/2005,Double Jeopardy!,OPERA,$800 ,"He wrote the ragtime opera ""A Guest of Honor""",(Scott) Joplin
28381,4714,2/17/2005,Double Jeopardy!,OPERA,"$1,200 ","This Verdi opera was first performed on Dec. 24, 1871, in Cairo",Aida
28387,4714,2/17/2005,Double Jeopardy!,OPERA,"$1,600 ","In a Puccini opera, he marries then abandons Cio-Cio-San",Pinkerton
28393,4714,2/17/2005,Double Jeopardy!,OPERA,"$2,000 ","In a Wagner opera, this title knight tells Elsa he'll marry her so long as she never asks his identity",Lohengrin
28704,5923,5/19/2010,Final Jeopardy!,OPERA,None,"The aria ""Pour mon ame"" by Donizetti includes 9 of these; a few tenors have earned the nickname ""King of"" them",high Cs
29543,5855,2/12/2010,Jeopardy!,OPERA,$200 ,In a Rossini opera this Swiss patriot is forced to shoot an apple placed on his son Jemmy's head,William Tell
29549,5855,2/12/2010,Jeopardy!,OPERA,$400 ,This opera ends with the title madam committing hara-kiri,Madame Butterfly
29555,5855,2/12/2010,Jeopardy!,OPERA,$600 ,Don Jose is bewitched by this title gypsy girl,Carmen
29561,5855,2/12/2010,Jeopardy!,OPERA,$800 ,This title slave & Pharaoh's daughter Amneris are both in love with Radames,Aida
29567,5855,2/12/2010,Jeopardy!,OPERA,"$1,000 ",Count Almaviva attempts to thwart this opera's title marriage,The Marriage of Figaro
33251,2981,7/14/1997,Double Jeopardy!,OPERA,$200 ,"19th century female star Giuditta Grisi created this role in ""I Capuleti E I Montecchi""; surprise!",Romeo
33257,2981,7/14/1997,Double Jeopardy!,OPERA,$400 ,"In Act II of this Bizet opera, Escamillo sings the ""Toreador's Song""","""Carmen"""
33263,2981,7/14/1997,Double Jeopardy!,OPERA,"$3,500 ","Composer who turned Victor Hugo's play ""Le Roi S'Amuse"" into ""Rigoletto""",Giuseppe Verdi
33269,2981,7/14/1997,Double Jeopardy!,OPERA,$800 ,"Euridice is a soprano role in Monteverdi's ""The Fable Of"" this man who went to hell & back for her",Orpheus
33275,2981,7/14/1997,Double Jeopardy!,OPERA,"$1,000 ","The 1983 premiere of Olivier Messiaen's ""St. Francis of Assisi"" was led by this Japanese conductor",Seiji Ozawa
44526,5518,9/10/2008,Double Jeopardy!,OPERA,$400 ,"In an 1816 opera, he's the Barber of Seville",Figaro
44532,5518,9/10/2008,Double Jeopardy!,OPERA,$800 ,"Donizetti's operas include ""Anna Bolena"" & ""Lucrezia"" this",Borgia
44538,5518,9/10/2008,Double Jeopardy!,OPERA,"$1,200 ","Around the same time, Leoncavallo & this man both wrote operas based on the novel ""Scenes de la vie de boheme""",(Giacomo) Puccini
44544,5518,9/10/2008,Double Jeopardy!,OPERA,"$1,600 ","""Salome"", this composer's first successful opera, was banned in Boston in 1923",Richard Strauss
44550,5518,9/10/2008,Double Jeopardy!,OPERA,"$3,000 ",A Norwegian sea captain is a character in this 1843 opera,The Flying Dutchman
48806,61,12/3/1984,Double Jeopardy!,OPERA,$200 ,"Verdi fans always want ""moor"" of this Shakespearean hero",Othello
48812,61,12/3/1984,Double Jeopardy!,OPERA,$400 ,"He wrote Brunhilde's immolation, opera's longest aria of nearly 15 minutes",Wagner
53766,4879,11/24/2005,Double Jeopardy!,OPERA,$400 ,"Act I of this ""airborne"" Wagner work includes a tenor aria about a sailor returning to his sweetheart",The Flying Dutchman
53772,4879,11/24/2005,Double Jeopardy!,OPERA,$800 ,"In 1782 Mozart married Constanze & made Constanze the harem-bound heroine of ""The Abduction from"" here",the Seraglio
53778,4879,11/24/2005,Double Jeopardy!,OPERA,"$2,000 ","In a Richard Strauss opera, the princess sends one of these to her cavalier--hence the title",a rose
55871,3286,12/14/1998,Double Jeopardy!,OPERA,$200 ,"Ambroise Thomas' opera about this man differs from Shakespeare's play; in the opera, he becomes king of Denmark",Hamlet
55876,3286,12/14/1998,Double Jeopardy!,OPERA,$400 ,"This composer's ""Rigoletto"" is based on Victor Hugo's play ""Le Roi S'Amuse"" (""The King Amuses Himself"")",Giuseppe Verdi
55881,3286,12/14/1998,Double Jeopardy!,OPERA,"$1,000 ",(AUDIO DAILY DOUBLE): This 1865 opera named for 2 legendary lovers contains the passage heard here,Tristan And Isolde
55887,3286,12/14/1998,Double Jeopardy!,OPERA,$800 ,"Concepcion's lovers hide inside clocks in her husband's shop in ""L'Heure Espagnole"" by this ""Bolero"" composer",Maurice Ravel
55892,3286,12/14/1998,Double Jeopardy!,OPERA,"$1,000 ",Puccini opera that features the prelude heard here,Madama Butterfly
56946,4896,12/19/2005,Double Jeopardy!,OPERA,$400 ,"Puccini included a passage from ""The Star-Spangled Banner"" in one of Pinkerton's numbers in this opera",Madame Butterfly
56952,4896,12/19/2005,Double Jeopardy!,OPERA,"$3,000 ","A highlight of this tragic opera set in Palestine is the ""Dance of the Seven Veils""",Salome
56958,4896,12/19/2005,Double Jeopardy!,OPERA,"$1,200 ",He's Verdi's title hunchbacked court jester,Rigoletto
56964,4896,12/19/2005,Double Jeopardy!,OPERA,"$1,600 ","In Act I of ""La boheme"", this poet keeps a fire burning in the chilly attic by sacrificing his manuscript",Rodolfo
56970,4896,12/19/2005,Double Jeopardy!,OPERA,"$2,000 ","In a Richard Strauss  opera title, the name of this daughter of Minos precedes ""auf Naxos""",Ariadne
57311,2885,2/28/1997,Double Jeopardy!,OPERA,$200 ,"After his quarrel with W.S. Gilbert, he wrote the 1891 opera ""Ivanhoe"" without him",Arthur Sullivan
57317,2885,2/28/1997,Double Jeopardy!,OPERA,$400 ,"This composer's reputation rests on his first & last full-length operas, ""The Pearl Fishers"" & ""Carmen""",Georges Bizet
57323,2885,2/28/1997,Double Jeopardy!,OPERA,$600 ,"His ""Il Trovatore"" contains the ""Anvil Chorus"", a favorite of male choirs the world over",Giuseppe Verdi
57329,2885,2/28/1997,Double Jeopardy!,OPERA,$800 ,In 1876 he opened an opera house in the Franconian town of Bayreuth,Richard Wagner
57335,2885,2/28/1997,Double Jeopardy!,OPERA,"$1,000 ","This New Zealand soprano appeared as Donna Elvira in Joseph Losey's film of ""Don Giovanni""",Kiri Te Kanawa
59634,2622,1/16/1996,Double Jeopardy!,OPERA,$200 ,"After his death in 1958, Finnish composer Aarre Merikanto's opera ""Juha"" premiered on radio in this capital",Helsinki
59640,2622,1/16/1996,Double Jeopardy!,OPERA,$400 ,"This 1791 Mozart opera is the greatest example of Zauberoper, or ""Magic Opera""","""The Magic Flute"""
59646,2622,1/16/1996,Double Jeopardy!,OPERA,$600 ,Darius Milhaud wrote a 1932 opera about this Hapsburg emperor of Mexico,Maximilian
60110,5483,6/11/2008,Double Jeopardy!,OPERA,$400 ,"It's the capital city where ""Carmen"" composer Georges Bizet was born in 1838",Paris
60116,5483,6/11/2008,Double Jeopardy!,OPERA,$800 ,"A flop when it debuted in 1904, this Puccini opera set in Nagasaki later became one of the best-loved operas",Madame Butterfly
60122,5483,6/11/2008,Double Jeopardy!,OPERA,"$3,000 ",George Gershwin personally asked Howard University voice professor Todd Duncan to originate this title role,Porgy
60128,5483,6/11/2008,Double Jeopardy!,OPERA,"$1,600 ","Inspired by his love for a friend's wife, Wagner composed this opera about a pair of medieval lovers",Tristan and Isolde
60134,5483,6/11/2008,Double Jeopardy!,OPERA,"$2,000 ","This composer of ""Cavalleria Rusticana"" wrote ""Il Piccolo Marat"", a sadly neglected opera about the Reign of Terror",Mascagni
63859,2350,11/18/1994,Final Jeopardy!,OPERA,None,"One-word title of the Verdi opera set in Windsor, England in the 15th century","\""Falstaff\"""
65381,2900,3/21/1997,Double Jeopardy!,OPERA,$200 ,"This ""Messiah"" composer's 1735 opera ""Alcina"" was based on the epic poem ""Orlando Furioso""",G.F. Handel
65387,2900,3/21/1997,Double Jeopardy!,OPERA,$400 ,"Pietro Mascagni wrote his 1935 opera ""Nerone"" to glorify this dictator",Benito Mussolini
65393,2900,3/21/1997,Double Jeopardy!,OPERA,$600 ,"Act I of this composer's ""Don Giovanni"" features the famous ""Champagne Aria""",W.A. Mozart
65399,2900,3/21/1997,Double Jeopardy!,OPERA,$800 ,"This Leoncavallo opera ends with the words ""La commedia e finita"" -- ""The comedy is ended""",Pagliacci
65405,2900,3/21/1997,Double Jeopardy!,OPERA,"$1,000 ","Like ""Carmen"", Prokofiev's opera ""The Duenna"" takes place in this Spanish city",Seville
73364,6068,1/19/2011,Double Jeopardy!,OPERA,$400 ,"The ""Hexenritt"", or ""Witches' Ride"", is sung in Act III of this 1893 fairy tale opera",Hansel and Gretel
73370,6068,1/19/2011,Double Jeopardy!,OPERA,"$2,000 ","Donizetti's ""Anna Bolena"" ends with the marriage of Henry VIII (aka Enrico) to this woman",Jane Seymour
73376,6068,1/19/2011,Double Jeopardy!,OPERA,"$1,200 ","In ""La boheme"" the poet Rodolfo falls in love with this seamstress who suffers from tuberculosis",Mimi
73382,6068,1/19/2011,Double Jeopardy!,OPERA,"$1,600 ","Carl Maria von Weber's 1826 opera about this king of the fairies was subtitled ""or, the Elf King's Oath""",Oberon
73388,6068,1/19/2011,Double Jeopardy!,OPERA,"$2,000 ","In 1961, as Venus in ""Tannhauser"", Grace Bumbry became the first black diva to sing at this Wagner festival",Bayreuth
81179,6279,12/29/2011,Double Jeopardy!,OPERA,$400 ,"This title character is sent to fetch Isolde, his uncle King Mark's intended bride",Tristan
81184,6279,12/29/2011,Double Jeopardy!,OPERA,$800 ,"She's a slave to Amneris, an Egyptian princess",Aida
81189,6279,12/29/2011,Double Jeopardy!,OPERA,"$1,200 ","Alban Berg's 1937 opera is a real doozy, or a real this, the double-talk name of its title character",Lulu
81194,6279,12/29/2011,Double Jeopardy!,OPERA,"$1,600 ",Gingerbread figures turn back into boys & girls when the witch's spell is broken in this opera,Hansel and Gretel
81200,6279,12/29/2011,Double Jeopardy!,OPERA,"$2,000 ","(<a href=""http://www.j-archive.com/media/2011-12-29_DJ_11.jpg"" target=""_blank"">Alex gives the clue from the Metropolitan Opera in New York.</a>)  The Met's production ""Enchanted Island"" is a version of ""The Tempest"", & the costume I'm wearing belongs to this magician, who rules the island",Prospero
85802,5353,12/12/2007,Double Jeopardy!,OPERA,$400 ,Rodolfo burns his poems to keep the stove going in act I of this Puccini work,La Boheme
85808,5353,12/12/2007,Double Jeopardy!,OPERA,$800 ,"Handel's ""Berenice, Queen of Egypt"" took a hiatus from the stage from the first part of this century to 1985",the 18th century
85814,5353,12/12/2007,Double Jeopardy!,OPERA,$400 ,"Poignant, given Pagliaccio's profession, the line ""Ridi Pagliaccio"" means do this, Pagliaccio",laugh
85820,5353,12/12/2007,Double Jeopardy!,OPERA,"$1,600 ","This Paisiello opera about a Spaniard was ""snipped"" out of the repertoire by Rossini's more popular version",The Barber of Seville
85826,5353,12/12/2007,Double Jeopardy!,OPERA,"$2,000 ","It's the ""mirthful"" opera house that premiered ""Carmen"", or the French term for the type of opera ""Carmen"" is",Opera comique
89833,6022,11/16/2010,Final Jeopardy!,OPERA,None,"The title character of this opera addresses his son in the aria ""Sois immobile"" (""hold yourself still"")",William Tell
91376,3356,3/22/1999,Double Jeopardy!,OPERA,$200 ,"Rossini's ""William Tell"" Overture was used as the theme for this classic TV western",The Lone Ranger
91382,3356,3/22/1999,Double Jeopardy!,OPERA,$400 ,"In this opera based on a Grimm fairy tale, the witch lures 2 kids into her gingerbread house",Hansel and Gretel
91388,3356,3/22/1999,Double Jeopardy!,OPERA,$600 ,"Puccini's ""Madama Butterfly"" takes place in the early 1900s in this country",Japan
121645,1266,2/19/1990,Double Jeopardy!,OPERA,$200 ,Spontini's opera about this adventurer's conquest of Mexico premiered in 1809,Hernando Cortez
121651,1266,2/19/1990,Double Jeopardy!,OPERA,$400 ,"Operas based on this Norwegian's plays include ""The Feast at Solhaug"" & ""Peer Gynt""",Henrik Ibsen
121657,1266,2/19/1990,Double Jeopardy!,OPERA,$600 ,"This composer of ""The Mikado"" wrote only 1 grand opera, ""Ivanhoe""",Sir Arthur Sullivan
122962,2875,2/14/1997,Double Jeopardy!,OPERA,$200 ,"In a Verdi opera, Odabella saves this famous Hun from being poisoned so she can kill him herself",Attila
122968,2875,2/14/1997,Double Jeopardy!,OPERA,$400 ,"This Austrian was just 14 when he composed his 1770 opera ""Mitridate, Re Di Ponto""",W.A. Mozart
122974,2875,2/14/1997,Double Jeopardy!,OPERA,$600 ,"A buzzard flies overhead & inspires the cast of this Gershwin opera to sing ""The Buzzard Song""",Porgy and Bess
122980,2875,2/14/1997,Double Jeopardy!,OPERA,$800 ,"""The Witches"", the 1st opera by this composer of ""Madama Butterfly"", may be based on the ballet ""Giselle""",Giacomo Puccini
122986,2875,2/14/1997,Double Jeopardy!,OPERA,"$1,000 ","This composer of the ""New World Symphony"" wrote the operas ""The Cunning Peasant"" & ""The Pigheaded Peasants""",Antonin Dvorak
123261,2352,11/22/1994,Double Jeopardy!,OPERA,$200 ,Robert Guilliaume appeared in a 1965 production of this Gershwin work at the Vienna Volksoper,Porgy and Bess
123267,2352,11/22/1994,Double Jeopardy!,OPERA,$400 ,"Title shared by the Puccini and Leoncavallo operas about Mimi, a poor seamstress",La bohème
123273,2352,11/22/1994,Double Jeopardy!,OPERA,$600 ,"This ""Lohengrin"" composer's first opera, ""Die Fein"", wasn't performed until 1888, five years after his death",Richard Wagner
123279,2352,11/22/1994,Double Jeopardy!,OPERA,$800 ,"""Savitre"", by this composer of ""The Planets"", is based on an episode in ""The Mahabarata""",Holst
123285,2352,11/22/1994,Double Jeopardy!,OPERA,"$1,000 ",Hedwig Lachmann translated an Oscar Wilde play into German for this Richard Strauss opera,Salome
126533,1945,2/5/1993,Final Jeopardy!,OPERA,None,"This 20th century opera was inspired by Hieronymus Bosch's painting ""The Adoration of the Magi""",Amahl and the Night Visitors
126566,3791,2/12/2001,Double Jeopardy!,OPERA,$200 ,"Characters in this Bizet opera include a toreador, a gypsy girl & cigarette factory girls",Carmen
126572,3791,2/12/2001,Double Jeopardy!,OPERA,$400 ,"This Austrian composer didn't complete his operas ""Adrast"" & ""Sakuntala""; he left a symphony ""unfinished"", too",Franz Schubert
126578,3791,2/12/2001,Double Jeopardy!,OPERA,$600 ,"In Offenbach's ""Orphee aux Enfers"", Orpheus goes to Hades to retrieve this woman, his cheatin' wife",Eurydice
126584,3791,2/12/2001,Double Jeopardy!,OPERA,$800 ,"Verdi's ""Falstaff"" is based on Shakespeare's ""Henry IV"" plays & this Shakespeare comedy",The Merry Wives of Windsor
126589,3791,2/12/2001,Double Jeopardy!,OPERA,"$1,000 ","A comic opera by Strauss based on an incident from his marriage, or a short orchestral piece played between scenes",Intermezzo
127173,1862,10/13/1992,Double Jeopardy!,OPERA,$200 ,This heroine's Japanese name is Cio-Cio-San,Madame Butterfly
127179,1862,10/13/1992,Double Jeopardy!,OPERA,$400 ,"Guinness says the longest commonly performed opera is his ""Die Meistersinger von Nurnberg""",Wagner
127185,1862,10/13/1992,Double Jeopardy!,OPERA,"$2,000 ","The title of this Leoncavallo opera can be translated as ""Clowns""",Pagliacci (I Pagliacci accepted)
127191,1862,10/13/1992,Double Jeopardy!,OPERA,$800 ,"The earliest opera that survives, Peri's 1600 ""Euridice"" tells of Euridice & this husband",Orpheus
127197,1862,10/13/1992,Double Jeopardy!,OPERA,"$1,000 ","Meyerbeer's ""Les Huguenots"" revolves around this 1572 massacre of the Huguenots",the St. Bartholomew's Day Massacre
128915,2378,12/28/1994,Double Jeopardy!,OPERA,$600 ,"This Norwegian completed only 3 scenes of ""Olav Trygvason"", his sole attempt at opera",(Edvard) Grieg
128921,2378,12/28/1994,Double Jeopardy!,OPERA,$800 ,"Name shared by a Handel opera, a general in Verdi's ""Atilla"" & Mr. Pinza of the Met",Ezio
128926,2378,12/28/1994,Double Jeopardy!,OPERA,"$1,000 ","Placido Domingo starred in a 1992 TV version of ""Tosca"", taped in its actual settings in this capital city",Rome
129683,740,11/20/1987,Double Jeopardy!,OPERA,$200 ,"In Wagner's ""Gotterdammerung"", she dies by riding her horse onto Siegfried's funeral pyre",Brunhilde
129689,740,11/20/1987,Double Jeopardy!,OPERA,$400 ,"Naval rank of Pinkerton in ""Madame Butterfly""",lieutenant
129695,740,11/20/1987,Double Jeopardy!,OPERA,$600 ,"Of ""Benvenuto Cellini"", ""Boris Godunov"", and ""Eugene Onegin"", the two who were historic figures",Cellini and Godunov
129701,740,11/20/1987,Double Jeopardy!,OPERA,$800 ,"In Germany, this opera is sometimes called ""Margarethe"" to separate it from the Goethe drama",Faust
129707,740,11/20/1987,Double Jeopardy!,OPERA,"$1,000 ","In this operetta, Prince Orlovsky calls champagne ""the king of all wines""",Die Fleidermaus
131177,5091,10/30/2006,Double Jeopardy!,OPERA,$400 ,This Verdi title character is an Ethiopian slave to Pharaoh's daughter,Aida
131183,5091,10/30/2006,Double Jeopardy!,OPERA,$800 ,"His opera ""Die Meistersinger von Nurnberg"" was inspired by Hans Sachs, who wrote more than 4,200 Meisterlieder",Wagner
131189,5091,10/30/2006,Double Jeopardy!,OPERA,"$1,200 ","Heard <a href=""http://www.j-archive.com/media/2006-10-30_DJ_18.mp3"">here</a> in a Gluck opera, this mythological character is lamenting the loss of his beloved",Orpheus
131195,5091,10/30/2006,Double Jeopardy!,OPERA,"$1,600 ","In operas by Massenet & Puccini, it's the given name of Mlle. Lescaut",Manon
131201,5091,10/30/2006,Double Jeopardy!,OPERA,"$2,000 ","In opera, that ""dum-dee-dee-dee-dum"" every time the merry carpenter shows up is called one of these",a leitmotif (a motif accepted)
131479,4972,4/4/2006,Double Jeopardy!,OPERA,$400 ,"Tenor Leo Slezak covered a staging mistake in ""Lohengrin"" by ad-libbing, ""What time is the next"" this graceful bird",swan
131485,4972,4/4/2006,Double Jeopardy!,OPERA,$800 ,"His new ""Tosca"" was the toasta Roma in 1900",Puccini
131491,4972,4/4/2006,Double Jeopardy!,OPERA,"$1,200 ","Verdi's first comic opera was a flop; it was 50 years before he wrote his second, about this Shakespeare character",Falstaff
131497,4972,4/4/2006,Double Jeopardy!,OPERA,"$1,600 ",This Mozart opera opens with the title character on the prowl for Donna Anna,Don Giovanni
131503,4972,4/4/2006,Double Jeopardy!,OPERA,"$2,000 ","Fragments of the ""Ode to Joy"" appear in the libretto of this 1805 opera, the composer's only one",Fidelio
132799,4591,7/19/2004,Final Jeopardy!,OPERA,None,"The libretto for ""William Tell"" was in this language, the native tongue of neither the composer, Rossini, nor the subject",French
132832,2953,6/4/1997,Double Jeopardy!,OPERA,$200 ,The role of Scrooge is sung by a baritone in this Thea Musgrave opera,"""A Christmas Carol"""
132838,2953,6/4/1997,Double Jeopardy!,OPERA,$400 ,"This Richard Strauss comic opera is named for Octavian, a young cavalier","""Der Rosenkavalier"""
132844,2953,6/4/1997,Double Jeopardy!,OPERA,$600 ,This Mussorgsky opera was first performed at the Met in 1913 with Adamo Didur as Boris,"""Boris Godunov"""
132850,2953,6/4/1997,Double Jeopardy!,OPERA,$800 ,"Meyerbeer's ""Les Huguenots"" deals with the events around this massacre",The St. Bartholemew's Day Massacre
132856,2953,6/4/1997,Double Jeopardy!,OPERA,"$1,400 ","He wrote both text & music for his 3-act opera ""Tristan And Isolde""",Richard Wagner
133531,4290,4/4/2003,Double Jeopardy!,OPERA,$400 ,"In Wagner's ""Die Walkure"", she was Wotan's favorite of the Valkyrie warriors",Brunhilde
133537,4290,4/4/2003,Double Jeopardy!,OPERA,$800 ,"This Menotti opera debuted on the New York stage on April 9, 1952, 4 months after it was televised",Amahl and the Night Visitors
133543,4290,4/4/2003,Double Jeopardy!,OPERA,"$1,200 ","The first of Verdi's trilogy of romantic operas, it was followed by ""Il Trovatore"" & ""La Traviata""",Rigoletto
133549,4290,4/4/2003,Double Jeopardy!,OPERA,"$1,600 ","""Carmen"" is set in this city around 1820",Seville
133555,4290,4/4/2003,Double Jeopardy!,OPERA,"$2,000 ",This Puccini title heroine's first name is Floria,Tosca
136403,4614,9/30/2004,Double Jeopardy!,OPERA,$400 ,This 1893 opera based on a children's tale is set partly in the woods of Ilsenstein,Hansel and Gretel
136409,4614,9/30/2004,Double Jeopardy!,OPERA,$800 ,"A 1913 opera about this queen of Ithaca is based on an episode from ""The Odyssey""",Penelope
